"","Country.Name","Country.Code","Year","Cash.Surplus","GDP","Population"
"1","Afghanistan","AFG",2006,-2.02786009648,7057598406.61553,25893450
"2","Afghanistan","AFG",2007,-1.73123021369,9843842455.48323,26616792
"3","Afghanistan","AFG",2008,-2.31424986559,10190529882.4878,27294031
"4","Afghanistan","AFG",2009,0.281700159017,12486943505.7381,28004331
"5","Afghanistan","AFG",2010,1.49556676873,15936800636.2487,28803167
"6","Afghanistan","AFG",2011,-0.626409395981,17930239399.8149,29708599
"7","Afghanistan","AFG",2012,-0.621107949138,20536542736.7297,30696958
"8","Albania","ALB",1995,-8.90831843919,2424499009.14264,3187784
"9","Albania","ALB",1996,-10.1847091619,3314898291.75235,3168033
"10","Albania","ALB",1997,-12.121090804,2359903108.38446,3148281
"11","Albania","ALB",1998,-9.55616257204,2707123772.16195,3128530
"12","Albania","ALB",2002,-6.67839261865,4435078647.74817,3051010
"13","Albania","ALB",2003,-2.8359871017,5746945912.58082,3039616
"14","Albania","ALB",2004,-3.04455724394,7314865175.6199,3026939
"15","Algeria","DZA",1994,-3.98437831184,42542571305.5136,28362253
"16","Algeria","DZA",1995,-1.26183082771,41764052457.8814,28904298
"17","Algeria","DZA",1996,2.96295696353,46941496779.8499,29411415
"18","Algeria","DZA",1997,2.28300126116,48177862501.9495,29886839
"19","Algeria","DZA",1998,-3.57632911431,48187747528.899,30335732
"20","Algeria","DZA",1999,-0.345438935809,48640574566.6476,30765613
"21","Algeria","DZA",2000,9.70144338109,54790245600.5846,31183660
"22","Algeria","DZA",2001,4.36468127205,54744714396.1666,31592153
"23","Algeria","DZA",2002,1.16300333585,56760288973.6703,31995046
"24","Algeria","DZA",2003,5.50674576358,67863829880.4832,32403514
"25","Algeria","DZA",2004,5.30929889947,85324998813.604,32831096
"26","Algeria","DZA",2005,13.3948704305,103198228458.588,33288437
"27","Algeria","DZA",2006,13.1805222738,117027304746.54,33777915
"28","Algeria","DZA",2007,4.97493467343,134977087734.008,34300076
"29","Algeria","DZA",2008,9.27913360369,171000691877.714,34860715
"30","Algeria","DZA",2009,-4.49177473633,137211039898.193,35465760
"31","Algeria","DZA",2010,0.407202933722,161207268655.392,36117637
"32","Algeria","DZA",2011,-0.2828934418,200019057307.655,36819558
"33","Angola","AGO",1999,4.28333152408,6152922942.98032,15949766
"34","Angola","AGO",2000,26.2691041378,9129594818.60749,16440924
"35","Angola","AGO",2001,10.4185082723,8936063723.20121,16983266
"36","Angola","AGO",2002,1.67339018044,12497346669.6684,17572649
"37","Angola","AGO",2003,-12.1901061297,14188949190.618,18203369
"38","Angola","AGO",2004,12.7438389854,19640848728.8937,18865716
"39","Angola","AGO",2005,0.899323738177,28233712830.9035,19552542
"40","Angola","AGO",2006,24.3139391972,41789478661.3096,20262399
"41","Angola","AGO",2007,14.652529421,60448921272.2326,20997687
"42","Angola","AGO",2008,7.21600298768,84178032716.0971,21759420
"43","Angola","AGO",2009,-10.9819021387,75492384801.3695,22549547
"44","Angola","AGO",2010,0.859708441245,82470913120.7314,23369131
"45","Angola","AGO",2011,11.4431362258,104115923082.737,24218565
"46","Angola","AGO",2012,6.66144576579,115398371427.673,25096150
"47","Antigua and Barbuda","ATG",2000,-5.32517543547,830158768.888889,83584
"48","Antigua and Barbuda","ATG",2001,-9.76466207089,800740257.407407,85057
"49","Antigua and Barbuda","ATG",2002,-10.2315401694,814615323.703704,86266
"50","Antigua and Barbuda","ATG",2003,-5.54676118089,855643099.62963,87293
"51","Antigua and Barbuda","ATG",2004,-2.6921600342,919577142.592592,88257
"52","Antigua and Barbuda","ATG",2005,15.7042004484,1022191294.07407,89253
"53","Antigua and Barbuda","ATG",2006,-7.00841339146,1157005441.48148,90301
"54","Antigua and Barbuda","ATG",2007,-5.75411563624,1311401318.88889,91381
"55","Antigua and Barbuda","ATG",2008,-6.0750258546,1368431037.03704,92478
"56","Antigua and Barbuda","ATG",2009,-10.9998808832,1224253000,93581
"57","Antigua and Barbuda","ATG",2010,-1.38292944509,1152469074.07407,94661
"58","Antigua and Barbuda","ATG",2011,-4.3464300076,1142042925.92593,95719
"59","Antigua and Barbuda","ATG",2012,-1.34041441064,1211411703.7037,96777
"60","Armenia","ARM",2003,-0.739865922212,2807061008.69084,3017806
"61","Armenia","ARM",2004,-0.848435545378,3576615240.41616,3000612
"62","Armenia","ARM",2005,-1.00431858663,4900469950.09033,2981259
"63","Armenia","ARM",2006,-0.300422797422,6384451606.1421,2958500
"64","Armenia","ARM",2007,-0.566883682178,9206301700.39619,2933056
"65","Armenia","ARM",2008,-0.542749555115,11662040713.8753,2908220
"66","Armenia","ARM",2009,-7.60081536696,8647936747.98704,2888584
"67","Armenia","ARM",2010,-4.96766177398,9260284937.79782,2877311
"68","Armenia","ARM",2011,-2.76440681102,10142111334.4961,2875581
"69","Armenia","ARM",2012,-1.3043816809,10619320048.5857,2881922
"70","Australia","AUS",1972,2.34415423725,52003504672.8972,13177000
"71","Australia","AUS",1973,0.991772113702,63782190903.2671,13380000
"72","Australia","AUS",1974,2.15990968556,88906411201.1791,13723000
"73","Australia","AUS",1975,0.800360091711,97226546497.3372,13893000
"74","Australia","AUS",1976,-1.07276007216,104974158578.092,14033000
"75","Australia","AUS",1977,-0.657408082681,110266116081.67,14192000
"76","Australia","AUS",1978,-1.45784833798,118400631626.438,14358000
"77","Australia","AUS",1979,-1.4906098333,134793820288.538,14514000
"78","Australia","AUS",1980,-0.664110486543,149887465181.059,14692000
"79","Australia","AUS",1981,0.0808981669659,176804829908.278,14927000
"80","Australia","AUS",1982,0.509954075644,193954540439.148,15178000
"81","Australia","AUS",1983,-1.35966606178,177176415535.798,15369000
"82","Australia","AUS",1984,-2.90490275584,193503894222.061,15544000
"83","Australia","AUS",1985,-1.33373633484,180470967247.066,15758000
"84","Australia","AUS",1986,-0.688390756884,182281757134.863,16018400
"85","Australia","AUS",1987,0.469669236665,189375992588.671,16263900
"86","Australia","AUS",1988,1.42727530829,236135768335.274,16532200
"87","Australia","AUS",1989,2.54274154957,299941372852.374,16814400
"88","Australia","AUS",1990,1.658310328,311425933051.174,17065100
"89","Australia","AUS",1991,0.0932946166363,326068597441.331,17284000
"90","Australia","AUS",1992,-2.73593316672,325692532492.502,17495000
"91","Australia","AUS",1993,-3.8250504685,312372821810.006,17667000
"92","Australia","AUS",1994,-3.64347478585,323216879972.328,17855000
"93","Australia","AUS",1999,0.253449072057,389146509587.668,18926000
"94","Australia","AUS",2000,1.69827825308,415446209885.072,19153000
"95","Australia","AUS",2001,0.535293182704,378899860470.108,19413000
"96","Australia","AUS",2002,-0.744105295014,394635830891.586,19651400
"97","Australia","AUS",2003,0.529273645719,466853232382.062,19895400
"98","Australia","AUS",2004,0.538587566395,613329776639.636,20127400
"99","Australia","AUS",2005,0.764050139219,693764095624.718,20394800
"100","Australia","AUS",2006,1.24887971819,747572626534.891,20697900
"101","Australia","AUS",2007,1.16646138565,853764622752.61,20827600
"102","Australia","AUS",2008,1.47121123927,1055334825425.25,21249200
"103","Australia","AUS",2009,-2.90450460571,927168310999.853,21691700
"104","Australia","AUS",2010,-4.03116293452,1142876772659.21,22031750
"105","Australia","AUS",2011,-3.67251976351,1390557034407.97,22340024
"106","Australia","AUS",2012,-3.03196547927,1538194473087.23,22728254
"107","Australia","AUS",2013,-1.46964378375,1567178619062.28,23117353
"108","Australia","AUS",2014,-1.84566490258,1459597906912.7,23460694
"109","Austria","AUT",1972,2.1191272065,22059612417.4058,7544201
"110","Austria","AUT",1973,0.733729344239,29515467987.912,7586115
"111","Austria","AUT",1974,0.909820261792,35189299985.2768,7599038
"112","Austria","AUT",1975,-1.65946628154,40059206763.056,7578903
"113","Austria","AUT",1976,-2.20859234956,42959976068.1138,7565525
"114","Austria","AUT",1977,-1.58612481026,51545759220.7143,7568430
"115","Austria","AUT",1978,-1.67092121963,62052258694.2102,7562305
"116","Austria","AUT",1979,-1.17644381511,73937296654.6577,7549425
"117","Austria","AUT",1980,-0.792201263538,82058912465.4329,7549433
"118","Austria","AUT",1981,-0.76024875577,71034228097.4598,7568710
"119","Austria","AUT",1982,-2.30351156842,71275287327.5793,7574140
"120","Austria","AUT",1983,-3.18562750937,72121016623.2572,7561910
"121","Austria","AUT",1984,-2.11712070294,67985345161.9558,7561434
"122","Austria","AUT",1985,-2.41384810127,69386774474.5943,7564985
"123","Austria","AUT",1986,-3.38250857266,99036165209.5539,7569794
"124","Austria","AUT",1987,-3.97362750983,124168442860.253,7574586
"125","Austria","AUT",1988,-3.3414696596,133339397080.129,7585317
"126","Austria","AUT",1989,-2.6246319334,133105805928.237,7619567
"127","Austria","AUT",1990,-3.30111172642,166463386663.439,7677850
"128","Austria","AUT",1991,-3.38493128608,173794177725.398,7754891
"129","Austria","AUT",1992,-2.54004524691,195078126346.106,7840709
"130","Austria","AUT",1993,-4.28458375125,190379720927.481,7905633
"131","Austria","AUT",1994,-4.22590695745,203535242741.838,7936118
"132","Austria","AUT",1995,-6.8615186025,241038283062.645,7948278
"133","Austria","AUT",1996,-5.6531074351,237250948791.266,7959017
"134","Austria","AUT",1997,-4.06911103455,212790348404.555,7968041
"135","Austria","AUT",1998,-4.10299971623,218259904401.956,7976789
"136","Austria","AUT",1999,-3.71627771401,217185787342.851,7992324
"137","Austria","AUT",2000,-3.02468920729,196799778883.361,8011566
"138","Austria","AUT",2001,-1.97229223218,197337879194.631,8042293
"139","Austria","AUT",2002,-2.33842601843,213377771503.858,8081957
"140","Austria","AUT",2003,-2.79700504283,261695778781.038,8121423
"141","Austria","AUT",2004,-5.66190299812,300904221504.842,8171966
"142","Austria","AUT",2005,-3.78024909682,315974418604.651,8227829
"143","Austria","AUT",2006,-3.46577949699,335998557270.104,8268641
"144","Austria","AUT",2007,-2.49583389172,388691445387.353,8295487
"145","Austria","AUT",2008,-2.5983934814,430294287388.311,8321496
"146","Austria","AUT",2009,-5.64463904821,400172297860.517,8343323
"147","Austria","AUT",2010,-3.18419699451,391892746544.69,8363404
"148","Austria","AUT",2011,-2.13887308789,431120310088.82,8391643
"149","Austria","AUT",2012,-1.94243398528,409425234155.263,8429991
"150","Austria","AUT",2013,-1.16809347374,430068712971.867,8479375
"151","Austria","AUT",2014,-2.53281876826,441885415805.825,8541575
"152","Azerbaijan","AZE",1994,-11.1673135343,3313739673.54738,7597000
"153","Azerbaijan","AZE",1995,-3.13139938139,3052467522.36104,7685000
"154","Azerbaijan","AZE",1996,-2.36301891211,3176749593.11788,7763000
"155","Azerbaijan","AZE",1997,-3.96762794939,3962710163.11167,7838250
"156","Azerbaijan","AZE",1998,-4.94163842563,4446396217.63265,7913000
"157","Azerbaijan","AZE",1999,-4.66623753669,4581222442.45783,7982750
"158","Azerbaijan","AZE",2008,19.5663872916,48852482960.0779,8763400
"159","Azerbaijan","AZE",2009,7.57046753648,44291490420.5026,8947243
"160","Azerbaijan","AZE",2010,15.4463675968,52902703376.1056,9054332
"161","Azerbaijan","AZE",2011,12.8562651204,65951627200.2026,9173082
"162","Azerbaijan","AZE",2012,6.05556070006,69684317718.9409,9295784
"163","Bahrain","BHR",1990,-2.33903420523,4229787234.04255,495931
"164","Bahrain","BHR",1991,-1.29630696549,4616223404.25532,509765
"165","Bahrain","BHR",1992,-3.99686520376,4751063829.78723,523087
"166","Bahrain","BHR",1993,-3.31406945226,5200265957.44681,536213
"167","Bahrain","BHR",1994,-6.42495431236,5567553457.44681,549588
"168","Bahrain","BHR",1995,-3.12812599473,5849467819.14894,563699
"169","Bahrain","BHR",1996,0.27895219801,6101861436.17021,578668
"170","Bahrain","BHR",1997,1.889163411,6349202393.61702,594930
"171","Bahrain","BHR",1998,-6.08145886198,6183776595.74468,613702
"172","Bahrain","BHR",1999,-2.53866248398,6621010372.34043,636545
"173","Bahrain","BHR",2000,7.49196000884,9062906914.89362,664614
"174","Bahrain","BHR",2001,3.97326964329,8976207712.76596,697549
"175","Bahrain","BHR",2002,-0.792447659039,9632155053.19149,735148
"176","Bahrain","BHR",2003,1.77467910428,11074822074.4681,778711
"177","Bahrain","BHR",2004,4.51818556544,13150166755.3191,829848
"178","Bahrain","BHR",2005,6.54815868243,15968726861.7021,889168
"179","Bahrain","BHR",2006,3.98841627503,18505053191.4894,958414
"180","Bahrain","BHR",2007,3.36368333712,2.173e+10,1035891
"181","Bahrain","BHR",2008,5.4826121488,25710877659.5745,1114590
"182","Bahrain","BHR",2009,-4.37704425741,22938218085.1064,1185029
"183","Bahrain","BHR",2010,-4.77948819789,25713271276.5957,1240862
"184","Bahrain","BHR",2011,-0.534621347604,28776595744.6809,1278269
"185","Bahrain","BHR",2013,0.679396903674,32539547872.3404,1315411
"186","Bangladesh","BGD",2001,-0.570927482606,53991289844.3291,134107160
"187","Bangladesh","BGD",2002,-0.151864704258,54724081490.5102,136600667
"188","Bangladesh","BGD",2003,-0.104760791938,60158929188.2556,139019001
"189","Bangladesh","BGD",2004,-0.63112206296,65108544250.0425,141307489
"190","Bangladesh","BGD",2005,-0.970706746206,69442943089.4309,143431101
